Ticker,Ex-Dividend Date,Dividend Amount,Price,Dividend Yield,Company
MBWM,2025-06-06,0.37,44.16,0.84,Mercantile Bank Corporation
MAIN,2025-06-06,0.25,56.88,0.44,Main Street Capital Corporation
LBRT,2025-06-06,0.08,11.59,0.69,Liberty Energy Inc.
LANC,2025-06-06,0.95,167.4,0.57,Lancaster Colony Corporation
KWIPF,2025-06-06,0.00136394,0.49,0.28,KIWI PROPERTY GROUP LIMITED NPV
KIM,2025-06-06,0.25,21.26,1.18,Kimco Realty Corporation (HC)
JSNSF,2025-06-06,0.097,4.17,2.32,SAINSBURY(J)
JSAIY,2025-06-06,0.499821,15.68,3.19,J Sainsbury plc
JMPLY,2025-06-06,1.47488,46.07,3.2,Johnson Matthey plc
JMPLF,2025-06-06,0.55,22.3,2.47,JOHNSON MATTHEY
ISDAF,2025-06-06,0.2529051,6.65,3.8,ISRAEL DISCOUNT BANK
III,2025-06-06,0.045,4.72,0.95,"Information Services Group, Inc"
IHPGF,2025-06-06,0.033,2.75,1.2,INTEGRAFIN HOLDINGS PLC
ICFI,2025-06-06,0.14,85.92,0.16,"ICF International, Inc."
HUIHY,2025-06-06,0.322135,14.6,2.21,HUABAO INTERNATIONAL HOLDINGS L
HOKCY,2025-06-06,0.029591,0.96,3.09,"Hong Kong & China Gas Co., Ltd."
HLDCY,2025-06-06,0.167277,3.08,5.43,"Henderson Land Development Co.,"
HFBK,2025-06-06,0.24,34.5,0.7,Harford Bank
GRDZF,2025-06-06,0.06,0.18,32.73,Giordano International Ltd.
GPC,2025-06-06,1.03,126.52,0.81,Genuine Parts Company
GOLF,2025-06-06,0.235,68.24,0.34,Acushnet Holdings Corp.
GM,2025-06-06,0.15,49.61,0.3,General Motors Company
GCMG,2025-06-06,0.11,12.61,0.87,GCM Grosvenor Inc.
GCCO,2025-06-06,5.0,1650.0,0.3,GARDEN CITY CO COLORADO
GBBYF,2025-06-06,0.07,0.17,41.18,GOODBABY INTL HLDGS LTD
WSC,2025-06-04,0.07,26.95,0.26,WillScot Holdings Corporation
WDC,2025-06-04,0.1,51.55,0.19,Western Digital Corporation
TTAM,2025-06-04,0.08,14.3,0.56,Titan America SA
SU,2025-06-04,0.57,35.55,1.6,Suncor Energy  Inc.
SLB,2025-06-04,0.285,33.05,0.86,Schlumberger N.V.
RSRV,2025-06-04,10.0,178.0,5.62,Reserve Petroleum Company (The)
RCL,2025-06-04,0.75,256.97,0.29,Royal Caribbean Cruises Ltd.
PVH,2025-06-04,0.0375,83.77,0.04,PVH Corp.
PJT,2025-06-04,0.25,150.66,0.17,PJT Partners Inc.
PBR,2025-06-04,0.161265,11.54,1.4,Petroleo Brasileiro S.A.- Petro
PAHC,2025-06-04,0.12,24.42,0.49,Phibro Animal Health Corporatio
OTTW,2025-06-04,0.11,15.0,0.73,"Ottawa Bancorp, Inc."
OTCM,2025-06-04,0.18,50.0,0.36,OTC Markets Group Inc.
ODFL,2025-06-04,0.28,160.17,0.17,"Old Dominion Freight Line, Inc."
OCNB,2025-06-04,2.73,0.0,2730000.0,OCONOMOWOC BANCSHARES INC
OBT,2025-06-04,0.13,25.57,0.51,"Orange County Bancorp, Inc."
NPO,2025-06-04,0.31,185.14,0.17,Enpro Inc.
NOA,2025-06-04,0.12,17.14,0.7,North American Construction Gro
LIN,2025-06-04,1.5,467.58,0.32,Linde plc
IMO,2025-06-04,0.72,71.35,1.01,Imperial Oil Limited
HRB,2025-06-04,0.375,56.95,0.66,"H&R Block, Inc."
HAL,2025-06-04,0.17,19.59,0.87,Halliburton Company
GAIN,2025-06-04,0.54,15.05,3.59,Gladstone Investment Corporatio
FF,2025-06-04,0.06,3.95,1.52,FutureFuel Corp.
BBDO,2025-06-04,0.002953,2.52,0.12,Banco Bradesco Sa
BBDC,2025-06-04,0.05,9.31,0.54,"Barings BDC, Inc."
BBD,2025-06-04,0.003249,2.88,0.11,Banco Bradesco Sa
AVY,2025-06-04,0.94,177.73,0.53,Avery Dennison Corporation
AVT,2025-06-04,0.33,50.01,0.66,"Avnet, Inc."
AL,2025-06-04,0.22,57.61,0.38,Air Lease Corporation
ADI,2025-06-04,0.99,213.98,0.46,"Analog Devices, Inc."
TXRH,2025-06-03,0.68,195.21,0.35,"Texas Roadhouse, Inc."
SWK,2025-06-03,0.82,65.43,1.25,"Stanley Black & Decker, Inc."
SEI,2025-06-03,0.12,27.43,0.44,"Solaris Energy Infrastructure, "
PEBK,2025-06-03,0.2,27.53,0.73,Peoples Bancorp of North Caroli
NTBP,2025-06-03,21.0,950.0,2.21,"New Tripoli Bancorp, Inc."
MNRO,2025-06-03,0.28,15.33,1.83,"Monro, Inc."
MAC,2025-06-03,0.17,16.18,1.05,Macerich Company (The)
LZB,2025-06-03,0.22,41.89,0.53,La-Z-Boy Incorporated
LOB,2025-06-03,0.03,27.45,0.11,"Live Oak Bancshares, Inc."
LHX,2025-06-03,1.2,244.34,0.49,"L3Harris Technologies, Inc."
ITUB,2025-06-03,0.0028504,6.59,0.04,Itau Unibanco Banco Holding SA
GLNG,2025-06-03,0.25,41.16,0.61,Golar LNG Limited
GGAL,2025-06-03,0.269107,58.05,0.46,Grupo Financiero Galicia S.A.
ECO,2025-06-03,0.32,23.33,1.37,Okeanis Eco Tankers Corp.
EBC,2025-06-03,0.13,15.0,0.87,"Eastern Bankshares, Inc."
CI,2025-06-03,1.51,316.64,0.48,The Cigna Group
CASS,2025-06-03,0.31,42.3,0.73,"Cass Information Systems, Inc"
BSY,2025-06-03,0.07,47.73,0.15,"Bentley Systems, Incorporated"
BSPA,2025-06-03,0.33,62.5,0.53,"Ballston Spa Bancorp, Inc."
ATMU,2025-06-03,0.05,36.02,0.14,Atmus Filtration Technologies I
ZIM,2025-06-02,0.74,17.45,4.24,ZIM Integrated Shipping Service
ZEUS,2025-06-02,0.16,29.65,0.54,"Olympic Steel, Inc."
WSR,2025-06-02,0.045,12.32,0.37,Whitestone REIT
WHG,2025-06-02,0.15,14.79,1.01,Westwood Holdings Group Inc
WHD,2025-06-02,0.13,41.0,0.32,"Cactus, Inc. Class A Common Sto"
WEN,2025-06-02,0.14,11.4,1.23,Wendy's Company (The)
VWOB,2025-06-02,0.3156,64.08,0.49,Vanguard Emerging Markets Gover
VUSB,2025-06-02,0.1989,49.78,0.4,Vanguard Ultra-Short Bond ETF
VTYB,2025-06-02,0.065,11.59,0.56,Victory Bancorp Inc.
VTES,2025-06-02,0.2335,100.4,0.23,Vanguard Wellington Fund Vangua
VTEI,2025-06-02,0.2579,98.02,0.26,Vanguard Tax-Managed Funds Vang
VTEC,2025-06-02,0.2774,97.21,0.29,Vanguard California Tax-Exempt 
VTEB,2025-06-02,0.1367,48.8,0.28,Vanguard Tax-Exempt Bond ETF
VTC,2025-06-02,0.3295,76.25,0.43,Vanguard Total Corporate Bond E
VSDM,2025-06-02,0.1963,75.27,0.26,Vanguard Tax-Managed Funds Vang
VSDB,2025-06-02,0.2073,75.53,0.27,Vanguard Malvern Funds Vanguard
VPLS,2025-06-02,0.3041,76.89,0.4,Vanguard Core Plus Bond ETF
VMBS,2025-06-02,0.1607,45.74,0.35,Vanguard Mortgage-Backed Securi
VGUS,2025-06-02,0.2432,75.5,0.32,Vanguard Ultra-Short Treasury E
VGSH,2025-06-02,0.2046,58.64,0.35,Vanguard Short-Term Treasury ET
VGLT,2025-06-02,0.2097,54.97,0.38,Vanguard Long-Term Treasury ETF
VGIT,2025-06-02,0.194,59.29,0.33,Vanguard Intermediate-Term Trea
VCSH,2025-06-02,0.297,79.09,0.38,Vanguard Short-Term Corporate B
VCRM,2025-06-02,0.216,73.18,0.3,Vanguard Tax-Managed Funds Vang
VCRB,2025-06-02,0.2946,76.67,0.38,Vanguard Core Bond ETF
VCLT,2025-06-02,0.3697,74.06,0.5,Vanguard Long-Term Corporate Bo
VCIT,2025-06-02,0.328,81.72,0.4,Vanguard Intermediate-Term Corp
VCEB,2025-06-02,0.2503,62.55,0.4,Vanguard World Funds ETF
VBIL,2025-06-02,0.2231,75.53,0.3,Vanguard 0-3 Month Treasury Bil
ULH,2025-06-02,0.105,24.06,0.44,"Universal Logistics Holdings, I"
UHS,2025-06-02,0.2,190.35,0.11,"Universal Health Services, Inc."
UFPI,2025-06-02,0.35,97.56,0.36,"UFP Industries, Inc."
TW,2025-06-02,0.12,144.45,0.08,Tradeweb Markets Inc.
TPL,2025-06-02,1.6,1114.03,0.14,Texas Pacific Land Corporation
TCBIO,2025-06-02,0.359375,20.03,1.79,"Texas Capital Bancshares, Inc. "
SSNC,2025-06-02,0.25,80.81,0.31,"SS&C Technologies Holdings, Inc"
SLGN,2025-06-02,0.2,55.07,0.36,Silgan Holdings Inc.
SF,2025-06-02,0.46,94.22,0.49,Stifel Financial Corporation
SCYT,2025-06-02,1.0,82.0,1.22,"Security Bancorp, Inc."
SAFT,2025-06-02,0.9,82.14,1.1,"Safety Insurance Group, Inc."
RF,2025-06-02,0.25,21.44,1.17,Regions Financial Corporation
RDN,2025-06-02,0.255,34.15,0.75,Radian Group Inc.
RCKY,2025-06-02,0.155,22.75,0.68,"Rocky Brands, Inc."
PTEN,2025-06-02,0.08,5.52,1.45,"Patterson-UTI Energy, Inc."
PII,2025-06-02,0.67,39.22,1.71,Polaris Inc.
PHIN,2025-06-02,0.27,43.4,0.62,PHINIA Inc.
PFG,2025-06-02,0.76,77.89,0.98,Principal Financial Group Inc
PANL,2025-06-02,0.05,4.5,1.11,Pangaea Logistics Solutions Ltd
O,2025-06-02,0.2685,56.62,0.47,Realty Income Corporation
NTST,2025-06-02,0.21,16.1,1.3,NetSTREIT Corp.
NOV,2025-06-02,0.21,12.0,1.75,NOV Inc.
NOC,2025-06-02,2.31,484.77,0.48,Northrop Grumman Corporation
NNI,2025-06-02,0.28,116.18,0.24,"Nelnet, Inc."
NKE,2025-06-02,0.4,60.59,0.66,"Nike, Inc."
NIC,2025-06-02,0.32,122.64,0.26,Nicolet Bankshares Inc.
NEE,2025-06-02,0.5665,70.64,0.8,"NextEra Energy, Inc."
NBTB,2025-06-02,0.34,41.85,0.81,NBT Bancorp Inc.
MXC,2025-06-02,0.1,6.79,1.47,Mexco Energy Corporation
MTB,2025-06-02,1.35,182.64,0.74,M&T Bank Corporation
MOFG,2025-06-02,0.2425,28.75,0.84,"MidWestOne Financial Group, Inc"
MLR,2025-06-02,0.2,45.33,0.44,"Miller Industries, Inc."
MLM,2025-06-02,0.79,547.55,0.14,"Martin Marietta Materials, Inc."
MCK,2025-06-02,0.71,719.51,0.1,McKesson Corporation
MCHT,2025-06-02,0.08,6.61,1.21,Mauch Chunk Trust Financial Cor
MCD,2025-06-02,1.77,313.85,0.56,McDonald's Corporation
MAN,2025-06-02,0.72,41.95,1.72,ManpowerGroup
LYB,2025-06-02,1.37,56.49,2.43,LyondellBasell Industries NV
LMT,2025-06-02,3.3,482.38,0.68,Lockheed Martin Corporation
LCNB,2025-06-02,0.22,14.51,1.52,LCNB Corporation
K,2025-06-02,0.57,82.63,0.69,Kellanova
